serialNumber,packetType,deviceTime,gpsTimeValidity,gpsAltitude,gpsLatitude,gpsLongitude,pressure,temperature,xAxisAcc,yAxisAcc,zAxisAcc,xAxisAngVal,yAxisAngVal,zAxisAngVal,xAxisMagF,yAxisMagF,zAxisMagF,time
21845,1,3039,2467,-26045,372464896,1266664704,100626.4219,21.8243103,1.000278354,-1.245444655,11.61107349,49.36399841,47.96699905,43.45100021,-6.539999962,-3.313999891,-36.875,226998
21845,1,3050,2467,-25928,372464896,1266664704,100641.9844,21.81420898,0.941438437,-0.95124507,11.16977501,50.6780014,74.6989975,91.76200104,-3.220999956,-2.204999924,-41.11299896,227108
21845,1,3060,2468,-27237,372464992,1266664704,100648.4531,21.83074951,0.098066501,-0.50994581,11.26784134,46.72800064,55.5530014,88.43199921,1.416000009,1.922000051,-45.17900085,227208
21845,1,3071,2468,-27123,372465024,1266664704,100662.1094,21.81546021,-0.235359609,-0.304006159,9.865490913,36.37900162,29.63500023,77.16999817,2.588000059,1.444000006,-50.27700043,227318
21845,1,3081,2468,-27152,372465024,1266664704,100675.7813,21.82460022,-0.37265268,-0.06864655,9.76742363,21.27700043,5.809999943,63.17499924,5.426000118,4.620999813,-52.57899857,227418
21845,1,3092,2468,-27159,372465088,1266664832,100681.7656,21.81410217,-0.304006159,0.107873149,8.825984955,2.019000053,-13.36200047,50.54600143,6.421999931,7.953000069,-51.59199905,227528
21845,1,3102,2468,-27143,372465120,1266664832,100693.2031,21.81756592,0.1372931,0.166713059,7.335374355,-18.39999962,-25.25900078,49.26200104,5.441999912,10.81299973,-49.56700134,227628
21845,1,3112,2468,-27050,372465152,1266664832,100700.0938,21.82267761,0.784532011,0.274586201,9.433997154,-40.21099854,-24.2670002,66.42500305,3.766000032,15.57400036,-49.32699966,227728
21845,1,3123,2468,-27518,372465184,1266664832,100708.9688,21.81910706,1.598484039,-0.441299289,11.57184696,-65.69000244,10.20699978,78.55400085,5.260000229,22.875,-43.95299911,227838
21845,1,3133,2468,-27671,372465216,1266664832,100713.6875,21.82853699,0.794338644,-0.706078768,11.4051342,-73.91100311,26.42399979,93.98999786,9.538000107,31.44499969,-44.45399857,227938
21845,1,3144,2468,-27371,372465248,1266664832,100721.2969,21.82402039,0.666852236,-0.931631744,8.208166122,-43.57400131,20.44199944,58.94100189,15.34200001,38.74700165,-39.84199905,228048
21845,1,3154,2468,-27163,372465280,1266664832,100735.7656,21.82084656,-0.078453206,-1.490610719,9.296704292,11.52999973,-26.71999931,-25.72299957,19.36300087,42.40299988,-38.2879982,228148
21845,1,3165,2469,-26703,372465248,1266664832,100741.4844,21.82363892,0.519752443,-0.81395191,10.65982914,6.760000229,-37.56800079,-29.17000008,14.05700016,40.01699829,-38.78099823,228258
21845,1,3175,2469,-27149,372465248,1266664960,100753.3906,21.82641602,0.627625644,-0.460912555,10.23814297,-6.227000237,-22.0170002,-12.02400017,11.41800022,40.02000046,-37.95899963,228358
21845,1,3186,2469,-27889,372465280,1266664960,100759.125,21.83074951,0.784532011,-1.22583127,7.766866684,-4.191999912,-9.729000092,-9.505999565,11.23499966,39.38499832,-34.99900055,228468
